.央视频道,#genre#
睢宁综合，http://180.107.88.32:9999/rtp/239.49.1.246:6000
赣榆综合,http://180.107.88.32:9999/rtp/239.49.1.247:6000
全纪实台高清,http://180.107.88.32:9999/rtp/239.49.8.179:6000
都市剧场高清,http://180.107.88.32:9999/rtp/239.49.8.180:6000
金鹰纪实高清,http://180.107.88.32:9999/rtp/239.49.8.203:6000



.台湾频道,#genre#

民视,mitv://generationnexxxt.com:19806/7b662823ed634f1fad66ab442b177118
台视,mitv://generationnexxxt.com:19806/9868c18e3c0940cd8aa003d9ae54f862
华视,mitv://generationnexxxt.com:19806/761bc3c0662247d18b0db4da8070b7f4
壹电视新闻台,mitv://generationnexxxt.com:19806/31dad83ef5b74c5db225482cd2e0fbae
年代新闻(备),mitv://generationnexxxt.com:19806/95f67e884d88463e907c301d05fa68b7
东森新闻台,mitv://generationnexxxt.com:19806/e1a899eded4d48578084c61957fb8c2b
中天新闻台,mitv://generationnexxxt.com:19806/bd9064ee198045a386f1f2dba5073f4e
镜新闻,mitv://generationnexxxt.com:19806/668a0abb880a496d8f57fad2f580566b
民视新闻台,mitv://generationnexxxt.com:19806/d24f18e610d248b7a450d29492b37ebf
三立新闻台,mitv://generationnexxxt.com:19806/9388262af2604cc798800736d070d39e
TVBS新闻台,mitv://generationnexxxt.com:19806/6a155a5d7bea461b980b4fa559119a60
TVBS,mitv://generationnexxxt.com:19806/9fb651a7ec2e402588a0752ba1035476
台视新闻台,mitv://generationnexxxt.com:19806/9817b59742464113bd5656fcc7dced84
中视新闻台,mitv://generationnexxxt.com:19806/cb5965a89e434df7aeb66b2364116ae4
寰宇新闻台,mitv://generationnexxxt.com:19806/a265fb55774a4554bc2db19b16f53be6
华视新闻,mitv://generationnexxxt.com:19806/ebe8db2daafa47768f37bcae17bfe299
年代新闻,mitv://generationnexxxt.com:19806/65ddd162000837a5babd25111eb9560c
中天新闻台(B),mitv://generationnexxxt.com:19806/e92e93fd67794e92acdc0d4005f0781a
纬来育乐台(B),mitv://generationnexxxt.com:19806/09f5cbcd57934038bc76de430a767046
纬来电影台(B),mitv://generationnexxxt.com:19806/7ab30b79b011427287733d8ba51333e8
